rank,predicted probability of recidivating within one year,DOC ID number
276,0.180285702,979829
277,0.18028182,1143872
278,0.17991497,320127
279,0.179773087,1127660
280,0.179693011,952135
281,0.17960927,901909
282,0.179541665,1060388
283,0.179469067,901880
284,0.179406626,448835
285,0.179376399,655930
286,0.179289507,1055214
287,0.179261618,95079
288,0.179213548,789080
289,0.179165683,1138734
290,0.179134813,1088656
291,0.179082805,1107896
292,0.179080336,930390
293,0.178978735,1051829
294,0.178926516,222483
295,0.178913314,264225
296,0.178811237,982842
297,0.178807184,794270
298,0.178785871,1020031
299,0.178711109,1026663
300,0.178690706,1126523
301,0.178674508,799922
302,0.178659103,1140940
303,0.178636795,798565
304,0.178616466,922395
305,0.178526154,607308
306,0.17849109,5291
307,0.178487145,1105097
308,0.178451062,1101921
309,0.178446737,932050
310,0.178421025,1102574
311,0.178234447,955106
312,0.178216086,947785
313,0.178211195,908275
314,0.178199051,576922
315,0.178187599,939031
316,0.17818458,908963
317,0.178170311,789551
318,0.178142768,1106304
319,0.178111345,105324
320,0.17809368,923952
321,0.178075389,1045376
322,0.178058819,1134510
323,0.178032673,987728
324,0.178004237,1101299
325,0.177933006,952433
326,0.177795867,963475
327,0.177722249,890345
328,0.177699761,187129
329,0.17768651,827557
330,0.177567302,806795
331,0.177552866,1110184
332,0.17752346,1078458
333,0.177506742,647222
334,0.177394297,1123449
335,0.177339525,1134168
336,0.177332213,534725
337,0.177323841,1031742
338,0.177239956,1126289
339,0.177233831,246960
340,0.177209125,1125954
341,0.17720113,1029891
342,0.177185839,944985
343,0.177178508,967190
344,0.177152234,138594
345,0.177141229,76489
346,0.177134776,936509
347,0.177055706,1066678
348,0.177034572,924979
349,0.177011512,87490
350,0.177009526,853488
351,0.176998225,1100911
352,0.176986161,1071169
353,0.176983316,186154
354,0.176882301,1138310
355,0.176873478,777082
356,0.176826663,736335
357,0.176819618,778501
358,0.176788577,1057643
359,0.176728658,761792
360,0.176705686,926520
361,0.176673745,1081899
362,0.176649816,999447
363,0.17662858,1122052
364,0.176585122,1124449
365,0.17658393,1135936
366,0.176517664,1136248
367,0.176459656,767428
368,0.176374451,1117590
369,0.176319397,200547
370,0.176313001,890011
371,0.17629809,1070912
372,0.176288144,202306
373,0.17623786,955551
374,0.176225135,994465
375,0.176216625,401225
376,0.176187669,1115386
377,0.176151549,1090330
378,0.176147645,149449
379,0.176140852,737822
380,0.176126478,70169
381,0.176125486,701551
382,0.176072595,803514
383,0.176040285,1133667
384,0.176015061,926947
385,0.175988743,885863
386,0.175974264,322180
387,0.175902993,845779
388,0.175875318,1114117
389,0.17584916,1071454
390,0.175809648,1009959
391,0.175805073,453093
392,0.17578864,1097819
393,0.175742394,1100340
394,0.175679323,1126303
395,0.17567923,928728
396,0.175652328,251729
397,0.175624895,856223
398,0.175577473,1070160
399,0.175565827,699527
400,0.175544436,743046
401,0.175465796,814396
402,0.175454886,357715
403,0.175408727,1122537
404,0.175363358,1125107
405,0.175353828,1066882
406,0.175333423,1085804
407,0.175318691,1116599
408,0.175318023,1107665
409,0.17530707,1089407
410,0.175295671,967175
411,0.175275745,1066927
412,0.175267852,1083783
413,0.175234204,732250
414,0.175216525,889415
415,0.175181818,1062323
416,0.175073728,975803
417,0.175072235,1030405
418,0.175057462,965527
419,0.174967943,1019577
420,0.174960306,962061
421,0.174881522,1078690
422,0.174870303,762014
423,0.174855212,1084153
424,0.174809167,1145191
425,0.174773377,790980
426,0.174751015,912331
427,0.174739687,1099130
428,0.174725007,842314
429,0.174720678,860167
430,0.17460635,1090061
431,0.174575913,736284
432,0.174556227,1090777
433,0.174541119,918425
434,0.174519489,1069077
435,0.174514841,293313
436,0.174514241,1072063
437,0.174507125,1104548
438,0.174494449,1089439
439,0.17443096,1166064
440,0.174421286,1157749
441,0.174399633,844810
442,0.17439884,1076974
443,0.17435869,1110011
444,0.17424192,866189
445,0.174154719,1054359
446,0.174137705,1071749
447,0.174103373,458852
448,0.174092468,1073952
449,0.174086158,81723
450,0.174058105,1096716
451,0.174033367,820434
452,0.173996095,346865
453,0.173915973,1094991
454,0.173901371,639450
455,0.173882999,1049651
456,0.173821098,1059427
457,0.173782389,925332
458,0.173764625,225931
459,0.173756661,1131068
460,0.173734161,1062672
461,0.173730599,1051109
462,0.17369838,1019792
463,0.173655994,980366
464,0.173592518,110342
465,0.173571798,745518
466,0.173512895,262346
467,0.17351165,761767
468,0.17351055,1070739
469,0.173485233,1060473
470,0.173453036,1153513
471,0.173434509,1110889
472,0.1733526,208496
473,0.173342737,1104106
474,0.173262068,1544451
475,0.173253097,858215
476,0.173216266,836198
477,0.173185856,912248
478,0.173182282,826847
479,0.173138821,1129786
480,0.173135734,795003
481,0.173124889,499283
482,0.173102984,703020
483,0.173019579,826257
484,0.17298101,1161936
485,0.172972245,1063212
486,0.172951182,1136663
487,0.172895814,929688
488,0.172846625,999489
489,0.172833098,1136252
490,0.172777275,689576
491,0.172740583,998001
492,0.172740001,1113829
493,0.172729643,1017707
494,0.172657409,1074256
495,0.172645708,677853
496,0.172546727,1135239
497,0.17253559,1114230
498,0.172534471,838601
499,0.172532912,264044
500,0.172504598,641283
501,0.172485907,892298
502,0.172483199,655869
503,0.172434062,1047739
504,0.172300871,1091371
505,0.172290777,565506
506,0.172286882,785555
507,0.172246305,973789
508,0.172218109,1101278
509,0.172205243,907128
510,0.172175182,804458
511,0.172163621,793772
512,0.17214541,1168214
513,0.172141987,981196
514,0.172127973,759150
515,0.172085529,174049
516,0.172056501,1034608
517,0.172045222,771134
518,0.172030056,1090929
519,0.171968195,1117973
520,0.171906777,1114502
521,0.171900371,1089616
522,0.171861409,507042
523,0.17181274,1026113
524,0.171763824,1144197
525,0.171760097,897406
526,0.171751178,1078969
527,0.171747988,988856
528,0.171742578,211367
529,0.171649316,643473
530,0.171635019,254910
531,0.171582408,920105
532,0.171568859,1057753
533,0.171557748,1088974
534,0.171557222,1104402
535,0.171557166,1050518
536,0.171556998,1096360
537,0.171556214,1085658
538,0.171476567,1055965
539,0.171469893,1139267
540,0.171439689,1089489
541,0.17143244,863486
542,0.171418858,511140
543,0.171339858,801122
544,0.171299339,703401
545,0.171297149,910200
546,0.171223578,410567
547,0.171210968,846760
548,0.171202212,1043275
549,0.171201406,1058083
550,0.171117738,1117657
551,0.171115095,1061496
552,0.171113633,1101789
553,0.171081508,793020
554,0.171070817,997186
555,0.171059601,1083606
556,0.17103608,1021993
557,0.171020747,709349
558,0.17095433,416818
559,0.170937837,1064901
560,0.170921645,1113963
561,0.170919679,1019157
562,0.170908243,807858
563,0.170880818,1127324
564,0.170835975,993689
565,0.170827703,1090604
566,0.170813081,1085424
567,0.17080314,307869
568,0.170787164,85652
569,0.170745473,854176
570,0.1707206,1076083
571,0.170717869,1051569
572,0.170716489,1098172
573,0.17071077,563138
574,0.17069641,1110219
575,0.170693681,523625
576,0.170644462,1067437
577,0.170608824,1121191
578,0.170507945,562732
579,0.17049742,1074459
580,0.170426741,370222
581,0.170376377,1105059
582,0.170373231,870748
583,0.170324977,760872
584,0.170244491,1122540
585,0.170196224,276417
586,0.170189021,542213
587,0.170159212,1008616
588,0.170049794,390516
589,0.170025233,555568
590,0.170016849,4704
591,0.17001345,278163
592,0.170011945,634954
593,0.169995179,705540
594,0.169994553,974234
595,0.169992797,1116591
596,0.169989063,1101560
597,0.169961459,1039668
598,0.169959299,789141
599,0.169953508,1117760
600,0.169921579,887247
601,0.169918564,1039968
602,0.169911863,614065
603,0.169909961,911851
604,0.169905336,1137930
605,0.169807226,1104547
606,0.169793417,1014211
607,0.169766432,1089291
608,0.169753291,889282
609,0.169744929,1147150
610,0.169728374,1058572
611,0.16972081,353365
