,total_counts_for_crime,felony_counts_for_crime,recidivate,OFFENDER_HEIGHT_(IN_INCHES),OFFENDER_WEIGHT_(IN_LBS),age_at_crime,years_in_prison,age_at_first_incarceration,number_of_previous_incarcerations
count,220957.0,220957.0,220957.0,220862.0,220865.0,220957.0,220957.0,220957.0,220957.0
mean,1.9489357657824826,1.6938906665097735,0.07473399801771385,69.23943005134427,189.9885088176035,32.56481561744396,3.161995109568557,31.108303735537337,0.45260390030639447
std,1.4726039039240255,1.2754136174566537,0.2629622416073552,3.694874363907874,40.660867290534725,10.550934550041584,6.6580878368546585,10.413460588052924,0.8048253656062254
min,1.0,1.0,0.0,0.0,0.0,14.068493150684931,-0.9342465753424658,14.068493150684931,0.0
25%,1.0,1.0,0.0,67.0,162.0,24.076712328767123,0.4904109589041096,22.621917808219177,0.0
50%,1.0,1.0,0.0,69.0,184.0,30.367123287671234,1.1013698630136985,28.671232876712327,0.0
75%,2.0,2.0,0.0,72.0,211.0,39.45205479452055,2.967123287671233,37.797260273972604,1.0
max,86.0,86.0,1.0,96.0,789.0,89.8,269.53150684931506,89.8,10.0
